Tag Code,Event Type Name,Event File Name,Event Year YYYY,Event Date MMDDYYYY,InitDate,Init_year,init_day,event_year,event_day,deltaDays,Event Site Code Value,DetectionOrder,Event Capture Method Name,Event Capture Method Code,Event Species Code,Event Species Name,Event Length mm,mark.length,Event Weight g,Event Site RKM Value,Event Site RKM Total,Event Comment Value,Antenna ID,CTH Count
3DD.003DE80CD0,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,85,85,,754.077,831,,NA,1
3DD.003DE80CD0,Observation,CHL-2023-308-P-004.json,2023,11/4/2023,10/27/2023,2023,300,2023,308,8,CHL,,NA,NA,,Unknown,,85,,754.077.001,832,NA,82,1
3DD.003DE80CD1,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,72,72,4.2,754.077,831,,NA,1
3DD.003DE80CD1,Recapture,CSS-2024-104-112.xml,2024,4/13/2024,10/30/2023,2024,303,2024,104,,CHIWAT,,Screw Trap,SCREWT,1,Chinook,84,6.4,,754.077.002,833,T,NA,1
3DD.003DE80CD2,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,82,82,5.7,754.077,831,,NA,1
3DD.003DE80CD3,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,94,94,,754.077,831,,NA,1
3DD.003DE80CD6,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,77,77,5,754.077,831,,NA,1
3DD.003DE80CD6,Observation,CHU-2024-141-P-004.json,2024,5/21/2024,10/27/2023,2024,300,2024,142,,CHU,,NA,NA,,Unknown,,,,,,NA,92,1
3DD.003DE80CD7,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,108,108,14.1,754.077,831,,NA,1
3DD.003DE80CD8,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,6.7,754.077,831,,NA,1
3DD.003DE80CD9,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,77,77,5.4,754.077,831,,NA,1
3DD.003DE80CDA,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,71,71,4,754.077,831,,NA,1
3DD.003DE80CDB,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,80,80,5.6,754.077,831,,NA,1
3DD.003DE80CDB,Observation,CHL-2024-100-P-005.json,2024,4/9/2024,10/30/2023,2024,303,2024,100,,CHL,,NA,NA,,Unknown,,,,,,NA,83,1
3DD.003DE80CDC,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,77,77,6.2,754.077,831,,NA,1
3DD.003DE80CDF,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,85,85,7.1,754.077,831,,NA,1
3DD.003DE80CDF,Observation,CHU-2024-094-P-006.json,2024,4/3/2024,10/30/2023,2024,303,2024,94,,CHU,,NA,NA,,Unknown,,,,,,NA,95,1
3DD.003DE80CE1,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,80,80,5.4,754.077,831,,NA,1
3DD.003DE80CE2,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,67,67,3.5,754.077,831,,NA,1
3DD.003DE80CE3,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,7.9,754.077,831,,NA,1
3DD.003DE80CE4,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,83,83,6.4,754.077,831,,NA,1
3DD.003DE80CE5,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,80,80,5.9,754.077,831,,NA,1
3DD.003DE80CE6,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,74,74,4.2,754.077,831,,NA,1
3DD.003DE80CE7,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,86,86,6.7,754.077,831,,NA,1
3DD.003DE80CE8,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,87,87,6.9,754.077,831,,NA,1
3DD.003DE80CE9,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,65,65,3,754.077,831,,NA,1
3DD.003DE80CEA,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,82,82,6.2,754.077,831,,NA,1
3DD.003DE80CEB,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,83,83,6.3,754.077,831,,NA,1
3DD.003DE80CEB,Observation,CHL-2023-308-P-005.json,2023,11/4/2023,10/31/2023,2023,304,2023,308,4,CHL,,NA,NA,,Unknown,,83,,754.077.001,832,NA,83,1
3DD.003DE80CEB,Observation,CHL-2023-308-P-005.json,2023,11/4/2023,10/31/2023,2023,304,2023,308,0,CHL,,NA,NA,,Unknown,,83,,754.077.001,832,NA,86,1
3DD.003DE80CEC,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,65,65,3,754.077,831,,NA,1
3DD.003DE80CED,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,83,83,6.5,754.077,831,,NA,1
3DD.003DE80CED,Observation,CHU-2024-128-P-004.json,2024,5/8/2024,10/27/2023,2024,300,2024,129,,CHU,,NA,NA,,Unknown,,,,,,NA,94,1
3DD.003DE80CEE,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,80,80,6.1,754.077,831,,NA,1
3DD.003DE80CEF,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,86,86,6.8,754.077,831,,NA,1
3DD.003DE80CEF,Observation,CHL-2023-342-P-001.json,2023,12/8/2023,10/30/2023,2023,303,2023,342,39,CHL,,NA,NA,,Unknown,,86,,754.077.001,832,NA,84,1
3DD.003DE80CF0,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,81,81,5.4,754.077,831,,NA,1
3DD.003DE80CF2,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,83,83,6.3,754.077,831,,NA,1
3DD.003DE80CF3,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,82,82,5.8,754.077,831,,NA,1
3DD.003DE80CF3,Recapture,CSS-2024-097-112.xml,2024,4/6/2024,10/30/2023,2024,303,2024,97,,CHIWAT,,Screw Trap,SCREWT,1,Chinook,92,8,,754.077.002,833,T,NA,1
3DD.003DE80CF4,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,88,88,7.8,754.077,831,,NA,1
3DD.003DE80CF5,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,86,86,7,754.077,831,,NA,1
3DD.003DE80CF6,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,88,88,7.5,754.077,831,,NA,1
3DD.003DE80CF9,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,91,91,7.9,754.077,831,,NA,1
3DD.003DE80CF9,Observation,CHL-2023-345-P-001.json,2023,12/11/2023,10/30/2023,2023,303,2023,345,42,CHL,,NA,NA,,Unknown,,91,,754.077.001,832,NA,83,1
3DD.003DE80CF9,Observation,CHL-2023-345-P-001.json,2023,12/11/2023,10/30/2023,2023,303,2023,345,0,CHL,,NA,NA,,Unknown,,91,,754.077.001,832,NA,86,1
3DD.003DE80CFB,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,89,89,7.4,754.077,831,,NA,1
3DD.003DE80CFC,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,87,87,8,754.077,831,,NA,1
3DD.003DE80CFC,Observation,CHL-2023-339-P-004.json,2023,12/5/2023,10/27/2023,2023,300,2023,339,39,CHL,,NA,NA,,Unknown,,87,,754.077.001,832,NA,84,1
3DD.003DE80CFD,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,76,76,4.5,754.077,831,,NA,1
3DD.003DE80CFF,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,87,87,7,754.077,831,,NA,1
3DD.003DE80D00,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,74,74,5.8,754.077,831,,NA,1
3DD.003DE80D00,Observation,LWB-2024-138-P-001.json,2024,5/18/2024,10/27/2023,2024,300,2024,139,,LWB,,NA,NA,,Unknown,,,,,,NA,6,1
3DD.003DE80D01,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,85,85,6.5,754.077,831,,NA,1
3DD.003DE80D02,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,81,81,4.7,754.077,831,,NA,1
3DD.003DE80D03,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,6.9,754.077,831,,NA,1
3DD.003DE80D05,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,81,81,6.1,754.077,831,,NA,1
3DD.003DE80D06,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,86,86,7.1,754.077,831,,NA,1
3DD.003DE80D07,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,90,90,8.7,754.077,831,,NA,1
3DD.003DE80D09,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,69,69,3.5,754.077,831,,NA,1
3DD.003DE80D0A,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,6.1,754.077,831,,NA,1
3DD.003DE80D0B,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,73,73,4.4,754.077,831,,NA,1
3DD.003DE80D0B,Recapture,CSS-2024-122-212.xml,2024,5/1/2024,10/30/2023,2024,303,2024,122,,WENA4T,,Screw Trap,SCREWT,1,Chinook,88,7.4,,754.013,767,T,NA,1
3DD.003DE80D0D,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,79,79,5.5,754.077,831,,NA,1
3DD.003DE80D0E,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,76,76,4.9,754.077,831,,NA,1
3DD.003DE80D0F,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,6.8,754.077,831,,NA,1
3DD.003DE80D0F,Recapture,CSS-2023-314-112.xml,2023,11/10/2023,10/31/2023,2023,304,2023,314,10,CHIWAT,,Screw Trap,SCREWT,1,Chinook,85,84,6.4,754.077.002,833,P,NA,1
3DD.003DE80D10,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,90,90,8.3,754.077,831,,NA,1
3DD.003DE80D12,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,83,83,6,754.077,831,,NA,1
3DD.003DE80D14,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,73,73,4.3,754.077,831,,NA,1
3DD.003DE80D15,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,78,78,5.1,754.077,831,,NA,1
3DD.003DE80D17,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,93,93,9.5,754.077,831,,NA,1
3DD.003DE80D19,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,80,80,5.3,754.077,831,,NA,1
3DD.003DE80D1B,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,85,85,6.1,754.077,831,,NA,1
3DD.003DE80D1C,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,72,72,3.8,754.077,831,,NA,1
3DD.003DE80D1D,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,79,79,4.9,754.077,831,,NA,1
3DD.003DE80D1E,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,6.8,754.077,831,,NA,1
3DD.003DE80D1F,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,78,78,5.1,754.077,831,,NA,1
3DD.003DE80D20,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,87,87,6.9,754.077,831,,NA,1
3DD.003DE80D21,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,76,76,5,754.077,831,,NA,1
3DD.003DE80D22,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,83,83,6.3,754.077,831,,NA,1
3DD.003DE80D23,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,80,80,5.6,754.077,831,,NA,1
3DD.003DE80D24,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,75,75,4.9,754.077,831,,NA,1
3DD.003DE80D25,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,75,75,4.3,754.077,831,,NA,1
3DD.003DE80D25,Observation,CHL-2023-317-P-006.json,2023,11/13/2023,10/31/2023,2023,304,2023,317,13,CHL,,NA,NA,,Unknown,,75,,754.077.001,832,NA,82,1
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,1,2
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,2,1
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,3,2
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,4,1
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,81,1
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,82,1
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,A1,1
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,A2,1
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,A3,1
3DD.003DE80D25,Observation,B2J-2024-142-P-021.json,2024,5/21/2024,10/31/2023,2024,304,2024,142,,B2J,,NA,NA,,Unknown,,,,,,NA,A4,1
3DD.003DE80D26,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,81,81,6,754.077,831,,NA,1
3DD.003DE80D28,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,75,75,4.9,754.077,831,,NA,1
3DD.003DE80D28,Observation,CHL-2023-343-P-001.json,2023,12/9/2023,10/27/2023,2023,300,2023,343,43,CHL,,NA,NA,,Unknown,,75,,754.077.001,832,NA,82,1
3DD.003DE80D2B,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,83,83,6.6,754.077,831,,NA,1
3DD.003DE8104F,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,78,78,5.5,754.077,831,,NA,1
3DD.003DE8104F,Observation,CHU-2023-314-P-003.json,2023,11/10/2023,10/27/2023,2023,300,2023,314,-14,CHU,,NA,NA,,Unknown,,78,,754.077.012,843,NA,91,1
3DD.003DE8104F,Observation,CHU-2023-314-P-003.json,2023,11/10/2023,10/27/2023,2023,300,2023,314,0,CHU,,NA,NA,,Unknown,,78,,754.077.012,843,NA,95,1
3DD.003DE8104F,Observation,CHL-2023-328-P-001.json,2023,11/24/2023,10/27/2023,2023,300,2023,328,28,CHL,,NA,NA,,Unknown,,78,,754.077.001,832,NA,82,1
3DD.003DE8104F,Observation,CHL-2023-328-P-001.json,2023,11/24/2023,10/27/2023,2023,300,2023,328,0,CHL,,NA,NA,,Unknown,,78,,754.077.001,832,NA,84,1
3DD.003DE81050,Mark,NBD-2023-274-001.xml,2023,10/26/2023,10/26/2023,2023,299,2023,299,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,83,83,6.2,754.077,831,,NA,1
3DD.003DE81050,Observation,CHL-2023-306-P-006.json,2023,11/2/2023,10/26/2023,2023,299,2023,306,7,CHL,,NA,NA,,Unknown,,83,,754.077.001,832,NA,82,1
3DD.003DE81050,Observation,CHL-2023-306-P-006.json,2023,11/2/2023,10/26/2023,2023,299,2023,306,0,CHL,,NA,NA,,Unknown,,83,,754.077.001,832,NA,85,1
3DD.003DE81051,Mark,NBD-2023-274-001.xml,2023,10/24/2023,10/24/2023,2023,297,2023,297,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,,754.077,831,,NA,1
3DD.003DE81051,Observation,CHL-2023-306-P-006.json,2023,11/2/2023,10/24/2023,2023,297,2023,306,9,CHL,,NA,NA,,Unknown,,84,,754.077.001,832,NA,82,1
3DD.003DE81051,Observation,CHL-2023-306-P-006.json,2023,11/2/2023,10/24/2023,2023,297,2023,306,0,CHL,,NA,NA,,Unknown,,84,,754.077.001,832,NA,85,1
3DD.003DE81052,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,80,80,5.4,754.077,831,,NA,1
3DD.003DE81053,Mark,NBD-2023-274-001.xml,2023,10/24/2023,10/24/2023,2023,297,2023,297,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,76,76,,754.077,831,,NA,1
3DD.003DE81053,Observation,CHL-2023-306-P-006.json,2023,11/2/2023,10/24/2023,2023,297,2023,306,9,CHL,,NA,NA,,Unknown,,76,,754.077.001,832,NA,83,1
3DD.003DE81053,Observation,LWB-2024-128-P-001.json,2024,5/7/2024,10/24/2023,2024,297,2024,128,,LWB,,NA,NA,,Unknown,,,,,,NA,6,1
3DD.003DE81054,Mark,NBD-2023-274-001.xml,2023,10/26/2023,10/26/2023,2023,299,2023,299,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,97,97,9.7,754.077,831,,NA,1
3DD.003DE81054,Observation,CHL-2023-300-P-006.json,2023,10/27/2023,10/26/2023,2023,299,2023,300,1,CHL,,NA,NA,,Unknown,,97,,754.077.001,832,NA,82,1
3DD.003DE81055,Mark,NBD-2023-274-001.xml,2023,10/26/2023,10/26/2023,2023,299,2023,299,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,69,69,3.5,754.077,831,,NA,1
3DD.003DE81056,Mark,NBD-2023-274-001.xml,2023,10/26/2023,10/26/2023,2023,299,2023,299,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,68,68,3.4,754.077,831,,NA,1
3DD.003DE81056,Observation,CHU-2024-046-P-003.json,2024,2/15/2024,10/26/2023,2024,299,2024,46,,CHU,,NA,NA,,Unknown,,,,,,NA,92,1
